Fe (at%),Ni  (at%),Co (at%),Coercivity (A/m),,,,,,,,,,,,,,,,,,,,,,
34.21,28.17,37.62,159.16,,,,,,,,,,,,,,,,,,,,,,
33.56,28.31,38.13,159.16,,,,,,,,,,,,,,,,,,,,,,
32.88,28.52,38.6,159.16,,,,,,,,,,,,,,,,,,,,,,
32.16,28.79,39.05,159.16,,,,,,,,,,,,,,,,,,,,,,
31.45,29.07,39.49,159.16,,,,,,,,,,,,,,,,,,,,,,
31.74,29.07,39.2,159.16,,,,,,,,,,,,,,,,,,,,,,
31.02,29.34,39.64,159.16,,,,,,,,,,,,,,,,,,,,,,
30.2,29.82,39.97,159.16,,,,,,,,,,,,,,,,,,,,,,
29.32,30.44,40.24,159.16,,,,,,,,,,,,,,,,,,,,,,
28.37,31.19,40.44,159.16,,,,,,,,,,,,,,,,,,,,,,
31.01,29.48,39.51,159.16,,,,,,,,,,,,,,,,,,,,,,
30.29,29.76,39.95,159.16,,,,,,,,,,,,,,,,,,,,,,
29.41,30.37,40.22,159.16,,,,,,,,,,,,,,,,,,,,,,
28.49,31.06,40.45,159.16,,,,,,,,,,,,,,,,,,,,,,
27.44,32.02,40.55,159.16,,,,,,,,,,,,,,,,,,,,,,
26.28,33.18,40.54,159.16,,,,,,,,,,,,,,,,,,,,,,
24.82,34.96,40.22,159.16,,,,,,,,,,,,,,,,,,,,,,
23.2,37.08,39.73,159.16,,,,,,,,,,,,,,,,,,,,,,
27.33,32.36,40.32,159.16,,,,,,,,,,,,,,,,,,,,,,
26.41,33.04,40.55,159.16,,,,,,,,,,,,,,,,,,,,,,
24.98,34.75,40.26,159.16,,,,,,,,,,,,,,,,,,,,,,
23.09,37.42,39.5,159.16,,,,,,,,,,,,,,,,,,,,,,
24.81,35.09,40.09,159.16,,,,,,,,,,,,,,,,,,,,,,
23.09,37.42,39.5,159.16,,,,,,,,,,,,,,,,,,,,,,
24.98,34.75,40.26,159.16,,,,,,,,,,,,,,,,,,,,,,
23.09,37.42,39.5,159.16,,,,,,,,,,,,,,,,,,,,,,
16.48,50.31,33.21,159.16,,,,,,,,,,,,,,,,,,,,,,
13.76,55.23,31.01,159.16,,,,,,,,,,,,,,,,,,,,,,
11.8,58.03,30.17,159.16,,,,,,,,,,,,,,,,,,,,,,
10.34,59.8,29.86,159.16,,,,,,,,,,,,,,,,,,,,,,
